id; palavras_original; palavras_novo; unidades_medida_original; unidades_medida_novo; números_original; números_novo; cores_original; cores_novo; materiais_original; materiais_novo; tamanho_original; tamanho_novo; quantidade_original; quantidade_novo; descricao_original
1;giz, cera, maximo, resistencia;#;;#;24;#;;#;;#;;#;caixa, unidade;#;Giz de cera, maxima resistencia, caixa com 24 unidades.
2;especialidade, medico, ginecologia, obstetricio;#;;#;;#;;#;;#;;#;;#;ESPECIALIDADE MEDICA - GINECOLOGIA E OBSTETRICIA
3;broca, baixo, rotacao, haste, longo;#;;#;4;#;;#;aco;#;;#;;#;Broca de aço para baixa rotação de haste longa, n  04
4;plantao, medico, final, semana, entrada, sexto, saida, segundo, feira, manha;#;;#;19, 00, 7;#;;#;;#;;#;;#;PLANTÕES MÉDICOS  FINAL DE SEMANA ENTRADA SEXTA 19:00 SAIDA SEGUNDA - FEIRA 7:00:00 DA MANHÃ
5;caneta, retro, projetor, ponta, fino;#;;#;1, 0;#;preto, verde, vermelho, azul;#;;#;;#;;#;Caneta para Retro Projetor cores Preta, Verde, Vermelha e Azul - Ponta Fina 1,0
6;cone, guta, percha, bastao, validade, minimo, mes;#;;#;40, 24;#;branco;#;;#;;#;caixa, unidade;#;CONE DE GUTA PERCHA - BASTAO CAIXA C/ 40 UNIDADES- COR: BRANCA - VALIDADE MINIMA DE 24 MESES
7;lencol, algodao, poliester, elastico, cama;#;cm;#;2, 30, 1, 75;#;;#;;#;;#;;#;lençol de algodao e poliester com elastico para cama 2,30cm x 1,75cm
8;torneira, pia, lavatorio, acabamento, cromado, liso;#;;#;1, 2;#;;#;;#;;#;;#;Torneira, p/ pia lavatório de 1/2 acabamento cromado liso
9;mesa, exame, clinico, maca;#;;#;;#;;#;;#;;#;;#;MESA DE EXAME CLINICO ( MACA)
10;feijao, resistente, transparente;#;kg;#;1;#;preto;#;plastico;#;;#;embalagem, pacote;#;Feijão Preto: Embalagem pacote plástico, resistente, transparente, com capacidade de 1 KG
11;porta, prancheta, sucupira, pintura;#;cm;#;0, 70, 2, 10;#;;#;madeira;#;;#;;#;Porta de madeira prancheta sucupira 0,70x2,10cm pintura
12;estilete, estreito;#;;#;;#;;#;;#;;#;;#;ESTILETE ESTREITO
13;tomado, pia, parede, bica, movel;#;;#;;#;;#;inox;#;;#;;#;TOMADA PARA PIA PAREDE BICA MÓVEL INOX
14;janela, quatro, bandeira, colonial, angelim;#;m;#;1, 00, 20;#;;#;;#;;#;;#;JANELA  QUATRO BANDEIRAS  COM  COLONIAL   EM  ANGELIM  DE  1 00M  X 1 20M
15;jogo, dama, ludo, dimensao, composicao, estojo, peca;#;cm;#;31, 0, 4;#;;#;madeira, plastico;#;;#;;#;JOGO DE DAMA/LUDO, DIMENSÕES: 31,0 X  4,0 X 31,0 CM. COMPOSIÇÃO ESTOJO DE MADEIRA E PEÇAS DE PLASTICO.
16;papel, cartao;#;;#;;#;azul, vermelho, preto, branco, amarelo, verde;#;;#;;#;;#;Papel Cartão, nas cores: azul, vermelho, preto, branco, amarelo e verde
17;pasta, classificador, cartao, duplo, grampo;#;;#;;#;verde;#;plastico;#;;#;;#;PASTA CLASSIFICADOR VERDE PASTA CLASSIFICADOR CARTAO DUPLO COM GRAMPO PLASTICO COR VERDE
18;mangueira, jardim, trancado;#;m;#;20;#;;#;;#;;#;;#;Mangueira para jardim trançada, 20m
19;luva, limpeza;#;;#;;#;;#;plastico;#;;#;;#;LUVA PLÁSTICA PARA LIMPEZA
20;porta, matriz, modelo, otto;#;;#;;#;;#;metal;#;;#;;#;PORTA MATRIZ DE METAL MODELO OTTO
21;salgado, bola, recheio, creme, milhar, festa, frito;#;;#;;#;;#;;#;;#;;#;SALGADO TIPO BOLINHA, RECHEIO CREME DE MILHO - P/FESTA FRITO
22;rolo, pintura, poliester;#;cm;#;23;#;;#;;#;;#;;#;Rolo de Pintura Poliéster / 23 cm.
23;pasta, aba, elastico, oficio, terminacao;#;;#;;#;;#;plastico;#;;#;;#;PASTA ABA ELASTICO OFICIO COM TERMINACAO EM PLASTICO
24;notebook;#;;#;;#;;#;;#;;#;;#;Notebook
25;cama, beliche, solteiro, macico, escada, compativel, colchao;#;cm;#;78, 188;#;;#;madeira;#;;#;;#;CAMA BELICHE SOLTEIRO EM MADEIRA MACICA COM ESCADA COMPATIVEL PARA COLCHAO 78 X 188CM
26;ripa;#;;#;;#;;#;;#;;#;;#;RIPA.
27;tela;#;;#;;#;;#;;#;;#;;#;Tela
28;barra, cereal, integral, sabor, banana, morango;#;grama;#;25;#;;#;;#;;#;;#;Barra de cereal integral sabor banana ou morango - Barra de 25 gramas
29;giz, escolar, toxico, escrito, quadro, negro, comprimento, barra;#;mm;#;68, 73, 64;#;branco;#;papelao;#;;#;embalagem, caixa;#;Giz branco, tipo escolar, não tóxico, para escrita em quadro negro, comprimento 68 a 73mm, embalagem em caixa de papelão com 64 barras.
30;rolamento, roda, traseiro;#;;#;;#;;#;;#;;#;;#;Rolamento roda traseira 9311142
31;noretisterona, enantato, valerato, estradiol, injetavel, mesigyna;#;mg, ml;#;50, 5;#;;#;;#;;#;;#;Noretisterona, (Enantato) 50mg/ml + Valerato de Estradiol 5mg/ml, injetável. Mesigyna.
32;digoxina;#;mg;#;0, 25;#;;#;;#;;#;;#;DIGOXINA 0,25MG
33;acetato, betametasona, fosfato, dissodico, suspensao, injetavel;#;mg, ml;#;3;#;;#;;#;;#;;#;ACETATO DE BETAMETASONA + FOSFATO DISSÓDICO DE BETAMETASONA 3+3 MG/ML SUSPENSAO INJETAVEL
34;oxido, zinco, palmitato, retinol, colecalciferol, pomada;#;mg, g, ui;#;150, 5, 000, 900;#;;#;;#;;#;;#;Oxido de zinco, 150mg/g + Palmitato de retinol 5.000 UI/g + colecalciferol 900UI/g  pomada
35;anestesico, cloridrato, mepivacaina, epinefrina, mepiadre;#;;#;2, 1, 100, 000;#;;#;;#;;#;;#;ANESTESICO CLORIDRATO DE MEPIVACAINA 2% COM EPINEFRINA 1:100.000 (MEPIADRE)
36;topiramato;#;mg;#;5499, 100;#;;#;;#;;#;;#;005499 Topiramato 100mg
37;cetoconazol, dip, betametasona, sulfato, neomicina, pomada;#;;#;;#;;#;;#;;#;;#;CETOCONAZOL + DIP. BETAMETASONA + SULFATO DE NEOMICINA POMADA
38;hidroxido, magnesio, suspensao, oral;#;mg, ml;#;35, 6, 37, 150;#;;#;aluminio;#;;#;;#;HIDROXIDO DE MAGNESIO + HIDROXIDO DE ALUMINIO SUSPENSAO ORAL 35 6 MG + 37 MG ML 150 ML
39;amoxicilina, clavulanato, potassio, comprimido;#;mg;#;500, 125;#;;#;;#;;#;;#;AMOXICILINA + CLAVULANATO DE POTASSIO (COMPRIMIDO) 500MG + 125MG
40;acido, valproico, suspensao;#;;#;;#;;#;;#;;#;;#;ACIDO VALPROICO SUSPENSAO
